Date,COUNTRY_CODE,panic_index,media_hype_index,fake_news_index,sentiment_index,infodemic_index,media_coverage_index,Retornos_BTC,volatilidad,gfi,deaths_per_day,cases_per_day,musk_tweet
2020-02-27,XX,1.68,14.23,0.5,-50.03,25.91,46.31,-0.4092966388449268,-36.0283203125,0.5232484332373302,86.0,2718.0,0
2020-02-28,XX,2.29,15.64,0.42,-56.9,27.13,48.77,-1.2836217768337237,-112.0390625,0.5267622825900902,118.0,2798.0,0
2020-02-29,XX,3.04,18.5,0.43,-57.02,28.47,53.28,-0.8446835964171201,-72.9462890625,0.5238310094236537,140.0,3788.0,0
2020-03-01,XX,2.86,17.23,1.35,-58.72,26.98,54.89,-0.4318240904803676,-37.0546875,0.5244329017987592,108.0,4760.0,0
2020-03-02,XX,3.0,20.38,1.18,-55.16,29.92,57.26,3.5250739590151827,307.2158203125,0.5265586151518671,178.0,3958.0,0
2020-03-03,XX,2.69,19.7,0.52,-53.77,29.15,54.71,-0.9274764811755474,-81.8837890625,0.5290758536971735,148.0,5220.0,1
2020-03-04,XX,2.59,21.12,0.55,-48.47,31.15,55.2,-0.3709743670396993,-32.5400390625,0.5311858749645446,190.0,4678.0,0
2020-03-05,XX,2.84,22.19,0.91,-42.41,31.76,55.65,3.628484201142127,323.5166015625,0.5325636805155265,186.0,5656.0,0
2020-03-06,XX,2.83,21.96,0.59,-37.15,31.69,57.05,0.4811004368074785,43.783203125,0.5359234843635957,226.0,7866.0,0
2020-03-07,XX,3.38,24.68,0.69,-32.29,34.35,57.43,-2.357983053034934,-212.591796875,0.5381717567388026,210.0,8250.0,0
2020-03-08,XX,4.03,28.3,0.79,-31.0,34.49,58.12,-9.430352876922734,-801.837890625,0.5443225739916602,482.0,7856.0,0
2020-03-09,XX,5.23,29.85,0.8,-33.64,36.41,61.18,-2.301429329184435,-184.4716796875,0.5482433503941366,380.0,8396.0,0
2020-03-10,XX,4.78,28.57,0.93,-38.29,35.18,60.74,-0.1757685080185066,-13.9150390625,0.5545909632410172,552.0,9812.0,0
2020-03-11,XX,4.26,31.24,0.73,-46.59,37.96,61.62,0.021498848832731,1.70068359375,0.5629295661428793,690.0,15400.0,0
2020-03-12,XX,4.07,33.27,0.74,-54.37,39.28,64.62,-46.4730175339773,-2940.64208984375,0.5681395084553873,620.0,12246.0,0
2020-03-13,XX,6.06,41.48,0.72,-61.03,43.25,65.37,11.26862221975449,592.9189453125,0.57979463355126,988.0,28388.0,0
2020-03-14,XX,7.01,47.08,0.93,-68.52,46.81,66.99,-6.753557004657186,-363.3408203125,0.5872883870589706,844.0,22242.0,0
2020-03-15,XX,7.68,55.88,1.11,-68.65,52.05,75.51,3.6245732630844447,191.94873046875,0.5953130906907378,1302.0,22852.0,0
2020-03-16,XX,8.8,61.16,1.07,-68.75,55.22,78.98,-7.264505770911891,-377.8349609375,0.6006164895978072,1376.0,29642.0,0
2020-03-17,XX,6.58,50.22,1.18,-66.06,50.32,75.58,4.124552567019178,211.1494140625,0.6101119402290459,1636.0,32276.0,0
2020-03-18,XX,6.32,52.11,1.26,-65.3,52.6,76.57,0.2448204386069575,12.80908203125,0.6107684802124148,1844.0,39370.0,0
2020-03-19,XX,6.49,52.98,1.44,-66.28,52.29,77.86,16.71043242496126,952.75439453125,0.6210625799219209,2236.0,54616.0,0
2020-03-20,XX,6.98,55.71,1.32,-64.19,56.49,78.2,0.1224450008686969,7.58544921875,0.6306969028048133,2998.0,62228.0,0
2020-03-21,XX,6.9,56.92,1.23,-61.87,56.5,79.88,-0.2214485076129407,-13.7119140625,0.6381194308686157,3460.0,64150.0,0
2020-03-22,XX,9.02,66.59,2.03,-61.44,61.76,78.7,-5.907702386252891,-354.8115234375,0.6421985222997608,3376.0,70368.0,0
2020-03-23,XX,8.05,68.87,1.53,-61.38,60.46,82.61,9.578323765146266,586.06005859375,0.6465617758097824,3930.0,86050.0,0
2020-03-24,XX,6.13,58.66,1.23,-58.6,58.68,80.8,4.844470857364082,318.48876953125,0.645890546182915,4642.0,82500.0,0
2020-03-25,XX,6.63,60.07,1.28,-59.14,59.12,82.2,-0.8011559939720809,-53.74072265625,0.6450453285638893,5670.0,102668.0,0
