,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
15,2020-02-06,61612,1268,XX,30806,3182,1492,363,634,70,0.93,10.44,0.24,-52.07,20.52,37.66,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,9729.8017578125,37628823716
16,2020-02-07,68800,1438,XX,34380,3574,2015,523,719,85,1.19,9.31,0.26,-45.12,20.74,37.3,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,9795.943359375,34522718159
17,2020-02-08,74262,1612,XX,37105,2725,2615,600,806,87,1.33,8.83,0.39,-38.65,19.47,39.45,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,9865.119140625,35172043762
18,2020-02-09,80324,1812,XX,40135,3030,3244,629,906,100,1.81,9.45,0.39,-33.52,19.29,39.66,9863.89453125,10129.435546875,9850.392578125,10116.673828125,10116.673828125,35807884663
19,2020-02-10,85542,2026,XX,42745,2610,3946,702,1013,107,1.69,10.38,0.38,-28.16,20.86,41.74,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,9856.611328125,39386548075
20,2020-02-11,89628,2226,XX,44786,2041,4681,735,1113,100,1.04,9.83,0.17,-25.49,18.99,37.24,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,10208.236328125,37648059389
21,2020-02-12,90464,2236,XX,45205,419,5148,467,1118,5,0.88,8.95,0.21,-26.03,19.32,38.07,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,10326.0546875,43444303830
22,2020-02-13,120768,2742,XX,60352,15147,6291,1143,1371,253,0.88,9.25,0.16,-26.07,19.59,38.66,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,10214.3798828125,49356071373
23,2020-02-14,133824,3046,XX,66869,6517,8054,1763,1523,152,0.73,9.89,0.2,-27.7,20.5,39.8,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,10312.1162109375,43338264162
24,2020-02-15,138110,3332,XX,69012,2143,9389,1335,1666,143,0.8,9.11,0.25,-34.13,20.29,37.85,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,9889.4248046875,43865054831
